source_url,local_url,status,bytes,source_files
https://image.homenest.com.vn/wp-content/uploads/2026/04/Logo-HomeNest-Viet-Nam.png,/images/migrated/homenest-com-vn/wp-content/uploads/2026/04/Logo-HomeNest-Viet-Nam.png,EXISTING,11382,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2025/07/22124535/1.webp,/images/migrated/homenest-s3/wp-content/uploads/2025/07/22124535/1.webp,DOWNLOADED,65382,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2025/07/JavaScript-la-gi-Ly-do-nen-dung-JavaScript-khi-thiet-ke-website.png,/images/migrated/homenest-s3/wp-content/uploads/2025/07/JavaScript-la-gi-Ly-do-nen-dung-JavaScript-khi-thiet-ke-website.png,DOWNLOADED,1425969,src/_content/wiki-live-details.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2025/10/Trang-chu-Thanh-Tung-Case-Study.jpg,/images/migrated/homenest-s3/wp-content/uploads/2025/10/Trang-chu-Thanh-Tung-Case-Study.jpg,DOWNLOADED,158270,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/02/Giao-dien-Singapoden-Case-Study.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/02/Giao-dien-Singapoden-Case-Study.jpg,DOWNLOADED,64865,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/03/22115714/top-cong-ty-phan-mem-uy-tin.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/03/22115714/top-cong-ty-phan-mem-uy-tin.jpg,DOWNLOADED,111310,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/03/22115716/blockchain-iot1.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/03/22115716/blockchain-iot1.jpg,DOWNLOADED,207671,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/03/22115909/Lo-trinh-nghe-nghiep-Software-Engineer.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/03/22115909/Lo-trinh-nghe-nghiep-Software-Engineer.jpg,DOWNLOADED,124852,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/03/22115915/Ngay-lam-viec-cua-mot-Backend.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/03/22115915/Ngay-lam-viec-cua-mot-Backend.jpg,DOWNLOADED,273325,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/03/22115935/Flutter-so-voi-React-Native-va-Xamarin-Nen-chon-framework-nao-cho-phat-trien-Mobile.webp,/images/migrated/homenest-s3/wp-content/uploads/2026/03/22115935/Flutter-so-voi-React-Native-va-Xamarin-Nen-chon-framework-nao-cho-phat-trien-Mobile.webp,DOWNLOADED,16294,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-AI-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-AI-HomeNest-Viet-Nam.jpg,DOWNLOADED,111216,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-Blockchain-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-Blockchain-HomeNest-Viet-Nam.jpg,DOWNLOADED,98096,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-DevOps-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-DevOps-HomeNest-Viet-Nam.jpg,DOWNLOADED,94094,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-IoT-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-IoT-HomeNest-Viet-Nam.jpg,DOWNLOADED,121337,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-phan-mem-doanh-nghiep-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-phan-mem-doanh-nghiep-HomeNest-Viet-Nam.jpg,DOWNLOADED,73618,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-phan-mem-MVP-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-phan-mem-MVP-HomeNest-Viet-Nam.jpg,DOWNLOADED,104654,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-phat-trien-ung-dung-SaaS-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-phat-trien-ung-dung-SaaS-HomeNest-Viet-Nam.jpg,DOWNLOADED,113245,src/lib/site-data.json
https://s3.ap-southeast-1.amazonaws.com/image.homenest.com.vn/wp-content/uploads/2026/04/Dich-vu-thiet-ke-App-HomeNest-Viet-Nam.jpg,/images/migrated/homenest-s3/wp-content/uploads/2026/04/Dich-vu-thiet-ke-App-HomeNest-Viet-Nam.jpg,DOWNLOADED,82494,src/lib/site-data.json
